symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
DDX39B	0.5039639235275583	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8274613634158176	No data	No data	No data	No data	No data	No data	0.030420464862567387	No data	No data	0	0	0	0	0	0.9766350000000003	No data	-0.866326317982913	No data	-1	-1	No data	-0.74299	-1	-1
MASTL	0.5030392466541774	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.046468014169618765	No data	-1	No data	No data	0	0.5	-1
MTMR3	0.5030392466541774	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.37395500000000015	No data	-0.8144405084392582	-0.23930631949223818	0	No data	No data	0	0.5	-1
TARS2	0.5030392466541774	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.20613000000000029	No data	-0.08574703063138156	-0.5716940165100484	0	No data	No data	0	-1	-1
ATP6V1C1	0.5027260746659692	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8248902578108095	No data	No data	No data	No data	No data	No data	0.04111922929052129	No data	No data	0	0	0	0	0	0.9083750000000002	No data	-0.17909981246092932	-0.08949666429990372	-1	No data	No data	-0.05759249999999998	-1	-1
AKAP11	0.5026949781071668	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8268950677973637	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	-0.7565117732861013	-0.2646624353508259	0	No data	No data	0	-1	-1
NR1H2	0.5022788211021029	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8256025903265142	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	0.5	0	0	1	1	1	0.35869500000000015	1	-0.5317774536361741	-0.8061346575179992	0	-1	No data	-0.048912499999999956	-1	-1
CDK12	0.5012604633931973	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8245354000200357	No data	No data	No data	No data	No data	No data	No data	No data	0.5	0	0	1	1	0	0.5671149999999997	1	-0.9609293602833924	-0.8124147758918104	-1	No data	-1	0	-1	-1
NDUFA9	0.500619970268824	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8234818374650712	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0	No data	-0.33225672015003127	-0.4025761376112691	0	No data	No data	No data	-1	-1
UQCRC1	0.4993972915453086	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8193144812519462	No data	No data	No data	No data	No data	No data	0.04312285109460208	No data	No data	0	0	0	0	0	0.41666499999999973	No data	-0.43842467180662636	-0.7756387097962943	0	No data	No data	0	0.5	-1
PI4KB	0.499342162977125	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8213799414980975	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	1	1	0	0.9264699999999998	No data	-0.6973327776620128	No data	0	No data	No data	0	-1	-1
ATP6V1A	0.4987952674758952	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8193144812519462	No data	No data	No data	No data	No data	No data	0.023317173481998715	No data	No data	0	0	0	0	0	0.9027549999999998	No data	-0.6814961450302146	-0.022060910089015118	-1	No data	No data	0	-1	-1
CSNK1A1	0.4978986406230196	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8162783862259035	No data	No data	No data	No data	No data	No data	0.05454141221640363	No data	No data	0	0	1	1	0	0.9406550000000002	No data	-0.8695561575328193	No data	-1	-1	No data	-0.7626100000000001	-1	-1
MTMR6	0.4976720718834108	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8186327684641345	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5088549999999998	No data	-0.18868514273807047	No data	0	No data	No data	0	-1	-1
NDUFB7	0.49766970356982154	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8133006744240491	No data	No data	No data	No data	No data	No data	0.10656396688129041	No data	1	0	0	0	0	0	0.12409000000000034	No data	0.7294227964159199	No data	0	No data	No data	No data	-1	-1
